"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"1458",1458,"35-44","Female","Doctorate degree","UK","White",-2.05048,1.58487,0.14143,0.13136,0.7583,0.19268,-0.84637,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Week","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"1459",1459,"55-64","Male","Masters degree","UK","White",0.13606,0.63779,0.88309,0.28783,-0.78155,-0.71126,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1460",1460,"25-34","Male","Masters degree","UK","White",0.13606,0.16767,-0.45174,0.43852,0.12331,-0.71126,0.40148,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Year","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used"
"1461",1461,"18-24","Male","Some college or university, no certificate or degree","USA","White",-1.1943,0.80523,0.88309,0.94156,0.41594,-0.21712,0.7654,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Month","Never Used","Never Used","Never Used"
"1462",1462,"25-34","Male","Masters degree","UK","White",-2.75696,1.2861,-0.58331,0.76096,-0.52745,0.52975,0.07987,"Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Week","Never Used","Used in Last Year","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1463",1463,"25-34","Female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",0.73545,-0.57545,-0.31776,-0.91699,-0.14277,0.88113,-0.21575,"Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used"
"1464",1464,"18-24","Female","University degree","USA","White",-0.58016,0.32197,0.7233,-0.15487,0.58489,-1.37983,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used"
"1465",1465,"55-64","Female","University degree","USA","White",-1.86962,0.80523,0.88309,1.61108,0.93949,-0.21712,0.07987,"Used in Last Month","Used over a Decade Ago","Never Used","Used in Last Month","Used in Last Year","Used in Last Day","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used in Last Month","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used"
"1466",1466,"25-34","Female","Masters degree","UK","White",-0.14882,-0.80615,-1.27553,1.2861,0.12331,-1.37983,-0.52593,"Used in Last Month","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
"1467",1467,"18-24","Female","University degree","UK","White",0.31287,0.00332,-0.01928,0.76096,-0.27607,-1.37983,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1468",1468,"65+","Male","University degree","UK","White",-1.86962,-0.15487,-0.58331,2.46262,0.41594,-1.37983,-2.07848,"Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1469",1469,"55-64","Male","Masters degree","UK","White",-0.79151,-0.30033,0.29338,0.28783,1.46191,-0.21712,-0.84637,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Never Used"
"1470",1470,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.14882,0.47617,-0.17779,-1.07533,0.12331,-0.71126,1.2247,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Month","Used in Last Year","Never Used","Never Used"
"1471",1471,"25-34","Female","Masters degree","USA","White",-0.24649,0.32197,0.88309,0.43852,0.12331,-0.71126,0.07987,"Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Never Used"
"1472",1472,"45-54","Male","Some college or university, no certificate or degree","Canada","Not Provided",1.02119,-0.69509,-0.84732,-1.21213,0.7583,1.86203,1.2247,"Used in Last Month","Used in Last Month","Used in Last Week","Used in Last Week","Used in Last Day","Used in Last Month","Never Used","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Never Used"
"1473",1473,"25-34","Female","Some college or university, no certificate or degree","USA","White",2.46262,-1.92173,-0.58331,-2.35413,-2.30408,1.29221,1.2247,"Used in Last Week","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Week","Used in Last Decade","Used in Last Week","Used in Last Month","Used in Last Decade","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1474",1474,"25-34","Male","Professional certificate/diploma","Canada","White",-0.34799,-0.43999,-0.17779,-0.45321,0.12331,-0.71126,-0.84637,"Used in Last Week","Used in Last Decade","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Decade","Used in Last Month","Never Used","Never Used","Used in Last Decade","Used in Last Week","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"1475",1475,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.41667,-0.69509,-0.01928,-0.30172,-1.25773,-1.37983,0.40148,"Used in Last Day","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
"1476",1476,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.92104,1.45421,1.65653,-0.01729,-0.52745,1.86203,1.92173,"Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Used in Last Week","Used in Last Decade","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Week","Never Used","Used in Last Decade"
"1477",1477,"35-44","Female","Professional certificate/diploma","USA","White",-0.05188,-0.57545,-2.09015,-0.01729,-0.27607,-0.71126,-0.84637,"Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used in Last Day","Never Used","Never Used"
"1478",1478,"25-34","Female","Some college or university, no certificate or degree","USA","Not Provided",1.37297,0.32197,0.7233,0.94156,0.12331,-0.71126,0.07987,"Used in Last Year","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1479",1479,"45-54","Female","University degree","USA","White",1.60383,-2.32338,0.14143,-0.01729,-2.04506,0.88113,-2.07848,"Used in Last Month","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Day","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used"
"1480",1480,"45-54","Female","Doctorate degree","UK","White",-0.92104,0.00332,0.14143,0.13136,0.7583,-0.21712,-0.21575,"Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1481",1481,"25-34","Female","University degree","UK","White",-0.24649,0.47617,0.7233,1.61108,-0.14277,-0.71126,0.7654,"Used in Last Week","Used in Last Month","Used in Last Year","Never Used","Used in Last Week","Used in Last Month","Used in Last Day","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used"
"1482",1482,"35-44","Male","Professional certificate/diploma","USA","White",0.52135,-1.09207,-0.45174,0.13136,-1.13788,0.88113,-0.84637,"Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used over a Decade Ago"
"1483",1483,"25-34","Female","Doctorate degree","UK","White",-1.05308,1.45421,-0.84732,0.94156,0.58489,-0.71126,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1484",1484,"18-24","Male","Some college or university, no certificate or degree","Other","White",-1.1943,1.11406,1.24033,-1.6209,-0.65253,0.52975,1.2247,"Used in Last Day","Used in Last Year","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used"
"1485",1485,"25-34","Female","University degree","UK","White",-0.05188,-0.30033,-1.27553,-0.01729,0.7583,-0.71126,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1486",1486,"18-24","Male","University degree","Australia","White",0.73545,0.00332,-0.17779,-1.07533,0.58489,1.29221,-0.52593,"Used in Last Day","Used in Last Week","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Month","Used in Last Day","Never Used","Never Used"
"1487",1487,"25-34","Female","Some college or university, no certificate or degree","USA","White",-0.46725,-0.43999,-0.17779,-1.772,-1.25773,1.86203,1.92173,"Used in Last Day","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Never Used","Never Used"
"1488",1488,"25-34","Female","Doctorate degree","UK","White",1.37297,-0.69509,-0.58331,-1.47955,1.13407,0.88113,-2.07848,"Used in Last Week","Used over a Decade Ago","Used in Last Decade","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"1489",1489,"18-24","Female","Masters degree","UK","White",-0.05188,1.11406,-1.42424,-0.45321,-0.78155,0.88113,1.2247,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Week","Used over a Decade Ago","Used in Last Day","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used"
"1490",1490,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.49158,-0.57545,-0.71727,-0.45321,-1.5184,1.29221,0.7654,"Used in Last Day","Used in Last Month","Never Used","Used in Last Week","Used in Last Month","Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
"1491",1491,"45-54","Male","Some college or university, no certificate or degree","USA","White",-0.14882,-0.30033,0.58331,0.13136,-0.27607,1.29221,1.2247,"Used in Last Month","Used in Last Week","Used in Last Decade","Used in Last Year","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"1492",1492,"18-24","Male","Some college or university, no certificate or degree","USA","White",2.127,-0.94779,-0.45174,-0.30172,-1.64101,1.29221,0.07987,"Used in Last Week","Used in Last Month","Never Used","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Month","Used in Last Year","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade","Never Used","Used in Last Day","Never Used","Never Used"
"1493",1493,"18-24","Male","Some college or university, no certificate or degree","UK","White",0.91093,-3.27393,-0.45174,-1.47955,-1.78169,1.86203,0.7654,"Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Day","Used in Last Month","Never Used","Used in Last Week","Never Used","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"1494",1494,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.79151,-0.94779,-0.01928,-0.60633,-0.40581,-0.71126,0.07987,"Used in Last Month","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Month","Used in Last Year","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1495",1495,"25-34","Male","Masters degree","Other","White",-1.1943,0.16767,0.29338,-0.91699,-0.89891,0.19268,1.2247,"Used in Last Week","Used in Last Week","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Used in Last Week","Never Used","Used in Last Week","Never Used","Never Used","Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"1496",1496,"45-54","Female","Left school before 16 years","USA","White",0.62967,-0.15487,-0.45174,-0.45321,-1.0145,0.19268,-0.52593,"Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"1497",1497,"45-54","Male","University degree","USA","White",-1.05308,0.96248,0.44585,-0.01729,0.58489,0.88113,1.2247,"Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"1498",1498,"25-34","Male","Doctorate degree","USA","Not Provided",-0.34799,0.47617,-0.01928,-0.60633,-0.00665,0.52975,1.2247,"Used in Last Week","Used in Last Month","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1499",1499,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.62967,0.16767,0.58331,-2.07848,-0.00665,1.86203,-0.21575,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Never Used"
"1500",1500,"18-24","Male","University degree","USA","White",0.41667,-1.92173,0.88309,-0.15487,-0.52745,0.19268,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Never Used"
"1501",1501,"25-34","Male","University degree","USA","White",-0.46725,0.47617,1.43533,-0.30172,-0.40581,0.19268,0.7654,"Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Used in Last Week","Used in Last Decade","Used in Last Year","Used in Last Month","Used in Last Week","Used in Last Year","Used in Last Decade","Used in Last Week","Never Used","Used in Last Decade"
"1502",1502,"18-24","Female","University degree","USA","Not Provided",-0.46725,0.00332,-0.31776,0.13136,-0.52745,1.29221,1.2247,"Used in Last Day","Used in Last Month","Never Used","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Used in Last Week","Used in Last Day","Never Used","Used in Last Decade"
"1503",1503,"35-44","Female","Professional certificate/diploma","USA","White",1.72012,-2.72827,0.29338,1.2861,-0.78155,-0.21712,-0.21575,"Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"1504",1504,"45-54","Female","Doctorate degree","UK","White",0.04257,1.58487,1.06238,0.59042,2.04506,-0.21712,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Month","Used over a Decade Ago","Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used"
"1505",1505,"18-24","Female","Not Provided","UK","White",2.82196,-2.44904,1.06238,-0.76096,-2.18109,-0.21712,-0.84637,"Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Day","Never Used","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
"1506",1506,"18-24","Female","University degree","UK","White",1.02119,-0.69509,0.88309,-1.772,-0.40581,0.19268,0.40148,"Used in Last Day","Never Used","Used in Last Year","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
"1507",1507,"25-34","Female","Professional certificate/diploma","USA","White",0.73545,-1.23177,0.7233,0.59042,-0.00665,0.52975,0.7654,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used in Last Month","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Used over a Decade Ago"
"1508",1508,"25-34","Male","Some college or university, no certificate or degree","USA","White",0.91093,-2.11437,-0.17779,-0.45321,-0.89891,-1.37983,-0.84637,"Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"1509",1509,"18-24","Male","University degree","USA","White",0.73545,-0.80615,1.65653,0.13136,-1.25773,-0.21712,-0.52593,"Used in Last Week","Used in Last Week","Never Used","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Month","Used in Last Year","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"1510",1510,"18-24","Male","Left school before 16 years","USA","White",2.28554,-0.69509,0.29338,-0.60633,-0.14277,-1.37983,-0.84637,"Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Month","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Never Used"
"1511",1511,"18-24","Male","Some college or university, no certificate or degree","USA","Not Provided",-0.14882,-0.57545,-0.84732,-0.60633,-0.52745,-0.21712,-2.07848,"Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Never Used","Used in Last Decade"
"1512",1512,"25-34","Male","Left school at 18 years","USA","White",1.23461,-2.32338,0.29338,-0.30172,-1.92173,0.19268,-0.52593,"Used in Last Year","Used in Last Decade","Never Used","Used in Last Month","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Month","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"1513",1513,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.02119,-0.43999,-0.01928,-1.34289,-1.13788,1.86203,1.2247,"Used in Last Day","Used in Last Week","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Used in Last Decade"
"1514",1514,"18-24","Male","Left school at 18 years","USA","White",-0.79151,1.93886,1.65653,-1.07533,-0.40581,1.86203,1.92173,"Used in Last Week","Used in Last Month","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Used in Last Year"
"1515",1515,"45-54","Male","Doctorate degree","USA","White",0.62967,-1.37639,1.43533,-0.91699,-0.52745,1.86203,0.7654,"Used in Last Week","Used in Last Year","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Year","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Week","Never Used","Never Used"
"1516",1516,"18-24","Male","Professional certificate/diploma","USA","White",0.04257,-1.6334,1.88511,-0.91699,0.12331,0.19268,0.40148,"Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Never Used","Used in Last Decade"
"1517",1517,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.24649,-0.80615,-1.27553,-1.34289,-1.92173,-0.71126,0.07987,"Never Used","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Month","Used over a Decade Ago","Used in Last Year","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Year","Used over a Decade Ago"
"1518",1518,"18-24","Male","Some college or university, no certificate or degree","Other","White",1.37297,-0.30033,-0.17779,-0.15487,-1.25773,0.19268,-0.21575,"Used in Last Week","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Week","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used in Last Decade"
"1519",1519,"18-24","Male","Professional certificate/diploma","USA","White",1.37297,-1.6334,1.06238,-0.91699,-1.38502,1.29221,0.7654,"Used in Last Week","Used in Last Week","Never Used","Used in Last Month","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Week","Used in Last Week","Used in Last Decade","Used in Last Week","Used in Last Day","Never Used","Never Used"
"1520",1520,"25-34","Male","Professional certificate/diploma","USA","White",-0.05188,-2.72827,1.24033,1.45039,0.41594,-1.37983,-2.07848,"Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Week","Never Used","Used in Last Week","Never Used","Used in Last Week","Used in Last Week","Used in Last Week","Used in Last Week","Used in Last Month","Used in Last Day","Never Used","Never Used"
"1521",1521,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.82562,2.127,1.88511,0.13136,-0.65253,1.86203,1.92173,"Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Used in Last Decade","Never Used","Used in Last Week","Used in Last Week","Used in Last Year","Used in Last Week","Used in Last Day","Never Used","Used in Last Year"
"1522",1522,"18-24","Male","Left school at 18 years","USA","White",1.60383,-2.21069,1.24033,0.43852,-1.38502,0.52975,0.40148,"Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"1523",1523,"18-24","Male","Not Provided","Australia","White",0.82562,1.2861,0.29338,-1.21213,-0.89891,0.88113,1.92173,"Used in Last Day","Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1524",1524,"18-24","Male","Left school at 18 years","USA","White",0.52135,1.2861,1.24033,-0.45321,-0.52745,1.86203,0.7654,"Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Never Used"
"1525",1525,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.91093,0.00332,1.06238,-1.21213,-1.5184,1.29221,0.40148,"Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Month","Used in Last Decade","Used in Last Year","Used in Last Day","Never Used","Used in Last Year"
